20,2010080,City Court-Sobriety Court
53,5310001,DJS-Administration
70,7041096,DPW-Urban Forestry Management & Greenspace
55,5510005,BRCC-Administration
5,520000,Parish Attorney-City Prosecutor Office
1,120070,MC-District  7
78,7802000,Buildings and Grounds-Architectural Services
73,7310001,Development-Administration
70,7007000,DPW-Architectural Services
40,4070415,Mayor President-Community Centers-JJN Community Center Summer Camp
70,7003410,DPW-Sewer Field Engineering
5,514000,Parish Attorney-Risk & Claims Management
40,4031000,Mayor President-Constituent & Neighborhood Program
70,7070353,DPW-Sewerage-Scada Operations
73,7312001,Development-Permits & Inspections
70,7001000,DPW-Administration
2,210000,Council Administrator-Administration
70,7031102,DPW-East Lot - Streets & Roads
51,5120031,FD-Hazardous Materials
1,170215,MC-Community Centers-JJN Community Center Summer Camp
46,4620000,HR-Benefits & Safety
60,6055306,DHDS-WIA - Leap
70,7060506,DPW-Recycling
60,6044416,DHDS-Summer Youth Common Services
70,7003000,DPW-Engineering
1,120110,MC-District 11
40,4030100,Mayor President-Citizens Service-Complaints & Weed Cut
70,7030202,DPW-North Lot - Bridge & Canal
60,6021086,DHDS-BRACA Head Start-Administration
54,5453191,MOHSEP-Urban Area Security Initiative
